,Survey,StartDate,EndDate,Progress,Duration,Finished,Courses,Consent1,Consent2,A1,A2,A3,A4,R1,Major,Year,Sex,VSD,NUPath,Philosophy,ID,course,course_name,crit_1,crit_2,crit_3,crit_4,crit_6,crit_7,crit_5,is_not_null
19,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 13:29,10/4/21 13:31,100,134,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,2,5,4,Computer Science,2,Female,No,PHIL 1145: Technology and Human Values,No,A376,cy2550,CY2550-1,True,True,True,True,True,True,True,True
20,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 14:18,10/4/21 14:21,100,124,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,4,5,5,Computer Science ,2,Male,No,"None, or I'm not sure",Yes,A275,cy2550,CY2550-1,True,True,True,True,True,True,True,True
21,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 14:18,10/4/21 14:22,100,182,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,3,5,1,5,5,computer science,2,Female,I'm not sure,PHIL 1145: Technology and Human Values,No,A151,cy2550,CY2550-1,True,True,True,True,True,True,True,True
22,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 15:00,10/4/21 15:02,100,84,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,4,5,5,Computer Science,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A270,cy2550,CY2550-1,True,True,True,True,True,True,True,True
23,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 16:22,10/4/21 16:24,100,126,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,3,5,1,4,1,Computer Sceince,2,Male,I'm not sure,"None, or I'm not sure",No,A7,cy2550,CY2550-1,True,True,True,True,True,True,True,True
24,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 19:37,10/4/21 19:39,100,117,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,2,5,1,"Computer Science, Psychology",5+,Female,I'm not sure,SOCL 4528: Computers and Society,Yes,A3,cy2550,CY2550-1,True,True,True,True,True,True,True,True
25,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/4/21 15:32,10/4/21 20:29,100,17872,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,4,2,4,5,Computer Science and Math,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A94,cy2550,CY2550-1,True,True,True,True,True,True,True,True
26,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/5/21 2:33,10/5/21 2:35,100,73,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,4,2,4,1,Computer Science,3,Male,No,"PHIL 1145: Technology and Human Values,None, or I'm not sure",No,A66,cy2550,CY2550-1,True,True,True,True,True,True,True,True
27,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/5/21 9:59,10/5/21 10:08,100,532,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,2,5,1,5,4,CS,2,Male,No,PHIL 1145: Technology and Human Values,No,A103,cy2550,CY2550-1,True,True,True,True,True,True,True,True
28,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/5/21 10:56,10/5/21 10:58,100,93,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,3,5,4,Computer Science,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A232,cy2550,CY2550-1,True,True,True,True,True,True,True,True
29,Pre-Module_Fl21_CY2550-1_Miazi_TR,10/5/21 11:43,10/5/21 11:44,100,86,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,4,2,Computer Science,5+,Female,I'm not sure,"None, or I'm not sure",No,A280,cy2550,CY2550-1,True,True,True,True,True,True,True,True
30,Pre-Module_Fl21_CY2550-3_Miazi_MR,10/3/21 18:43,10/3/21 18:45,100,125,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,5,4,Computer Science,3,Female,No,PHIL 1145: Technology and Human Values,Yes,A157,cy2550,CY2550-3,True,True,True,True,True,True,True,True
31,Pre-Module_Fl21_CY2550-3_Miazi_MR,10/3/21 21:49,10/3/21 21:51,100,65,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,5,5,5,Computer Sciene,2,Male,I'm not sure,"None, or I'm not sure",Yes,A277,cy2550,CY2550-3,True,True,True,True,True,True,True,True
32,Pre-Module_Fl21_CY2550-3_Miazi_MR,10/3/21 23:44,10/3/21 23:46,100,165,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,4,5,1,4,5,Computer Science,4,Male,I'm not sure,PHIL 1145: Technology and Human Values,No,A83,cy2550,CY2550-3,True,True,True,True,True,True,True,True
33,Pre-Module_Fl21_CY2550-3_Miazi_MR,10/4/21 2:07,10/4/21 2:10,100,166,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,5,5,1,5,4,Computer Science,2,Male,I'm not sure,PHIL 1145: Technology and Human Values,Yes,A128,cy2550,CY2550-3,True,True,True,True,True,True,True,True
34,Pre-Module_Fl21_CY2550-3_Miazi_MR,10/4/21 7:46,10/4/21 7:51,100,250,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,3,4,2,4,5,CE + CS,3,Male,I'm not sure,"None, or I'm not sure",No,A124,cy2550,CY2550-3,True,True,True,True,True,True,True,True
35,Pre-Module_Fl21_CY2550-3_Miazi_MR,10/4/21 11:54,10/4/21 11:56,100,90,True,CY2550 Foundations of Cybersecurity (Sakib Miazi),Yes,,3,4,1,4,4,CS and Math,3,Male,Yes,PHIL 1145: Technology and Human Values,No,A112,cy2550,CY2550-3,True,True,True,True,True,True,True,True
36,Pre-Module_Fl21_DS4400_Elhamifar,11/29/21 12:05,11/29/21 12:22,100,1038,True,DS 4400 Machine Learning & Data Mining (Ehsan Elhamifar),Yes,,3,4,1,4,1,"Business + Economics, Minor Data Science",3,Male,No,"None, or I'm not sure",No,A187,ds4400,DS4400-1,True,True,True,True,True,True,True,True
